City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Cranbrook,BC,49.5115317,-115.7530933,539000.0,4.0,3.0,0.18,Single Family,2028.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Lake Country,BC,50.0294094,-119.4331808,2388000.0,3.0,5.0,0.24,Single Family,4488.0,Yes,No,Finished,Concrete,Yes,forced air,wood,other,No,municipal,No,No,No
Pritchard,BC,50.687028,-119.830532,749900.0,3.0,3.0,0.27,Single Family,1286.0,Yes,No,Finished,Composite,No,forced air,laminate,metal,No,municipal,No,No,No
Vernon,BC,50.1861104,-119.3973673,1499000.0,3.0,3.0,0.15,Single Family,2830.0,Yes,No,Finished,Wood,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8453021,-119.5722794,1599000.0,5.0,4.0,0.24,Single Family,3501.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Keremeos,BC,49.2057304,-119.8217926,574900.0,2.0,2.0,0.25,Single Family,1196.0,Yes,Yes,Partial,Concrete,No,forced air,tile,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6666517,-120.1802444,659900.0,4.0,3.0,0.93,Single Family,2190.0,Yes,No,Partial,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8472737,-119.5744325,1774900.0,4.0,3.0,0.18,Single Family,4117.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Castlegar,BC,49.321798,-117.663255,549900.0,4.0,2.0,0.14,Single Family,2136.0,Yes,Yes,Finished,Vinyl,Yes,radiant,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.89192,-119.4871483,879900.0,4.0,2.0,0.13,Single Family,2070.0,No,No,No basement,Concrete,No,radiant,tile,asphalt,No,municipal,No,No,No
Cranbrook,BC,49.5045825,-115.7720084,399000.0,2.0,1.0,0.12,Single Family,992.0,Yes,No,Finished,Vinyl,Yes,forced air,laminate,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7873784,-119.5108092,2699900.0,5.0,4.0,0.23,Single Family,5069.0,Yes,No,Finished,Concrete,No,forced air,carpet,other,No,municipal,No,No,No
Vernon,BC,50.2226169,-119.4679095,670000.0,5.0,3.0,0.25,Single Family,2751.0,No,No,Finished,Vinyl,No,heat pump,carpet,asphalt,No,septic,No,No,No
Cranbrook,BC,49.5431202,-115.7598507,959000.0,3.0,3.0,0.13,Single Family,2260.0,Yes,No,Finished,Composite,Yes,heat pump,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.3524323,-119.2929001,545000.0,2.0,2.0,0.13,Single Family,1400.0,Yes,No,No basement,Vinyl,Yes,forced air,vinyl,asphalt,No,septic,No,No,No
West Kelowna,BC,49.8482218,-119.5613195,1770000.0,6.0,4.0,0.46,Single Family,4599.0,Yes,Yes,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Merritt,BC,50.1458473,-120.8845673,799999.0,3.0,2.0,40.31,Single Family,1657.0,Yes,No,No basement,Wood,Yes,radiant,other,other,No,none,No,No,No
Penticton,BC,49.5529609,-119.5692689,1649000.0,4.0,3.0,2.38,Single Family,2833.0,Yes,No,No basement,Composite,Yes,forced air,wood,asphalt,No,septic,No,No,No
Kamloops,BC,50.7017704,-120.3673545,619900.0,4.0,2.0,0.14,Single Family,1712.0,Yes,No,Finished,Composite,Yes,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8764048,-119.4677925,1049900.0,4.0,2.0,0.29,Single Family,2348.0,Yes,Yes,Finished,Metal,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8939848,-119.3989074,925000.0,5.0,3.0,0.2,Single Family,1590.0,Yes,No,No basement,Concrete,Yes,forced air,laminate,asphalt,No,municipal,No,No,No
Kelowna,BC,49.80363,-119.4567172,2345000.0,4.0,5.0,0.27,Single Family,4030.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,shingle,No,municipal,No,No,No
Kamloops,BC,50.6881138,-120.3507211,499999.0,2.0,1.0,0.11,Single Family,788.0,No,Yes,No basement,Vinyl,No,forced air,laminate,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6861731,-120.3438898,589900.0,2.0,2.0,0.12,Single Family,1224.0,Yes,No,No basement,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Coldstream,BC,50.2207256,-119.2511655,1295000.0,4.0,3.0,0.46,Single Family,3156.0,Yes,Yes,Finished,Wood,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kaslo,BC,49.9695358,-116.9065704,1150000.0,2.0,3.0,3.26,Single Family,2880.0,Yes,No,Partial,Wood,Yes,alt heat,wood,metal,No,none,No,No,No
Jaffray,BC,49.3956604,-115.2591858,893000.0,3.0,2.0,0.63,Single Family,1620.0,No,No,Finished,Concrete,Yes,forced air,carpet,metal,No,septic,No,No,No
Vernon,BC,50.2548897,-119.2764875,789000.0,4.0,3.0,0.14,Single Family,3058.0,Yes,Yes,Finished,Metal,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Oliver,BC,49.1973114,-119.5472565,699000.0,3.0,2.0,0.12,Single Family,1569.0,Yes,No,No basement,Composite,Yes,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7884216,-119.5145874,1999000.0,5.0,5.0,0.14,Single Family,4762.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Salmon Arm,BC,50.6834717,-119.2976532,949900.0,5.0,3.0,0.16,Single Family,3293.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8792548,-119.4809992,859000.0,3.0,2.0,0.15,Single Family,1644.0,Yes,No,Finished,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
Windermere,BC,50.5033646,-116.0090942,2445000.0,3.0,3.0,1.4,Single Family,4047.0,Yes,Yes,Finished,Concrete,Yes,forced air,wood,asphalt,No,septic,No,No,No
Salmon Arm,BC,50.7103402,-119.2521779,1100000.0,4.0,3.0,0.23,Single Family,2962.0,No,Yes,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8013703,-119.51673,1599000.0,4.0,3.0,0.6,Single Family,3684.0,Yes,No,Finished,Brick,Yes,forced air,carpet,cedar shake,No,septic,No,No,No
Enderby,BC,50.6078339,-118.7356415,835000.0,3.0,2.0,0.29,Single Family,1653.0,Yes,No,No basement,Composite,Yes,radiant,laminate,asphalt,No,septic,No,No,No
Vernon,BC,50.2980001,-119.1821175,2299000.0,5.0,5.0,4.99,Single Family,4137.0,Yes,Yes,Finished,Composite,No,heat pump,wood,asphalt,No,septic,No,No,No
Kelowna,BC,49.8029175,-119.4555893,1799999.0,5.0,4.0,0.22,Single Family,3206.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6579797,-120.2673369,1199900.0,4.0,4.0,0.25,Single Family,3071.0,Yes,No,Finished,Composite,Yes,radiant,other,asphalt,No,municipal,No,No,No
Fernie,BC,49.5746498,-114.9825821,1199995.0,2.0,1.0,4.3,Single Family,1064.0,No,Yes,No basement,Metal,Yes,heat pump,wood,metal,No,none,No,No,No
