City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Kamloops,BC,50.7050081,-120.4141264,824900.0,4.0,2.0,0.23,Single Family,2497.0,Yes,Yes,Finished,Brick,Yes,forced air,other,asphalt,No,municipal,No,No,No
Logan Lake,BC,50.49735,-120.820896,585000.0,3.0,2.0,0.21,Single Family,1902.0,Yes,No,Finished,Vinyl,Yes,forced air,other,asphalt,No,municipal,No,No,No
Lake Country,BC,50.0495262,-119.4054337,889000.0,2.0,1.0,0.14,Single Family,1002.0,Yes,Yes,No basement,Vinyl,No,forced air,wood,asphalt,No,municipal,No,No,No
Westbank,BC,49.8390961,-119.6162983,519900.0,1.0,2.0,0.0,Single Family,1263.0,Yes,No,No basement,Concrete,No,forced air,tile,asphalt,No,municipal,No,No,No
Summerland,BC,49.6215553,-119.6772766,1475000.0,4.0,3.0,0.24,Single Family,2530.0,No,No,No basement,Wood,Yes,forced air,wood,asphalt,No,septic,No,No,No
West Kelowna,BC,49.839736,-119.638896,699000.0,3.0,2.0,0.09,Single Family,1540.0,Yes,No,No basement,Composite,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9656333,-119.4015985,975000.0,4.0,3.0,0.0,Single Family,2763.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,tile,No,municipal,No,No,No
West Kelowna,BC,49.8452581,-119.5762017,1250000.0,4.0,3.0,0.25,Single Family,3770.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kaslo,BC,49.9509888,-116.9014282,599900.0,2.0,1.0,0.63,Single Family,1145.0,No,No,Partial,Wood,Yes,radiant,laminate,metal,No,septic,No,No,No
Kamloops,BC,50.676487,-119.7848587,1149000.0,3.0,2.0,10.5,Single Family,1750.0,Yes,Yes,No basement,Wood,Yes,forced air,other,asphalt,No,none,No,No,No
Merritt,BC,50.111126,-120.797021,409000.0,1.0,1.0,0.13,Single Family,828.0,Yes,No,No basement,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9013219,-119.4685933,2595000.0,4.0,5.0,0.33,Single Family,4993.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,other,No,municipal,No,No,No
Brisco,BC,50.8303334,-116.2677503,649900.0,4.0,3.0,6.9,Single Family,2364.0,No,No,Finished,Wood,Yes,forced air,carpet,metal,No,septic,No,No,No
Kamloops,BC,50.6779357,-120.363058,669900.0,4.0,3.0,0.07,Single Family,2006.0,Yes,No,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
Falkland,BC,50.4863548,-119.5366821,948500.0,3.0,1.0,86.62,Single Family,1400.0,Yes,Yes,Partial,Vinyl,Yes,heat pump,other,metal,No,septic,No,No,No
Kamloops,BC,50.6881709,-120.3472062,749900.0,3.0,2.0,0.19,Single Family,1810.0,Yes,Yes,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8861074,-119.5522913,1499900.0,5.0,4.0,0.45,Single Family,4072.0,Yes,No,Finished,Metal,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Barriere,BC,51.185791,-120.1382294,675000.0,3.0,2.0,0.23,Single Family,2600.0,Yes,Yes,No basement,Concrete,No,forced air,other,asphalt,No,none,No,No,No
Kelowna,BC,49.9226254,-119.4643572,1449000.0,6.0,4.0,0.2,Single Family,3952.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9715308,-119.4546693,1699000.0,5.0,4.0,0.43,Single Family,4465.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Fairmont Hot Springs,BC,50.3274144,-115.861743,769900.0,6.0,6.0,0.3,Single Family,3951.0,Yes,No,Finished,Concrete,Yes,forced air,other,tile,No,municipal,No,No,No
Kelowna,BC,49.8235238,-119.4874456,1250000.0,4.0,3.0,0.23,Single Family,2423.0,No,No,No basement,Metal,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Penticton,BC,49.467843,-119.5747478,799000.0,5.0,3.0,0.15,Single Family,2603.0,No,No,Finished,Vinyl,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Invermere,BC,50.501358,-116.0467758,1429000.0,5.0,4.0,0.44,Single Family,3033.0,Yes,Yes,No basement,Wood,Yes,heat pump,wood,cedar shake,No,municipal,No,No,No
Nelson,BC,49.492499,-117.29047,549000.0,5.0,2.0,0.07,Single Family,1521.0,No,No,Finished,Wood,No,radiant,other,asphalt,No,municipal,No,No,No
Winlaw,BC,49.6270866,-117.5567398,989900.0,5.0,3.0,5.2,Single Family,3732.0,Yes,No,Finished,Wood,No,radiant,wood,asphalt,No,septic,No,No,No
Kamloops,BC,50.7288895,-120.0282211,998000.0,4.0,2.0,0.4,Single Family,2146.0,No,Yes,Finished,Composite,Yes,forced air,carpet,asphalt,No,none,No,No,No
Kelowna,BC,49.8162727,-119.4890137,2099000.0,6.0,4.0,0.11,Single Family,4375.0,Yes,No,Finished,Composite,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kamloops,BC,50.7283707,-120.6787109,1199900.0,5.0,3.0,0.36,Single Family,2991.0,Yes,No,Partial,Composite,Yes,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8205515,-119.4854436,1239000.0,4.0,3.0,0.2,Single Family,2914.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,tile,No,municipal,No,No,No
Merritt,BC,50.102437,-120.765933,699000.0,5.0,3.0,0.23,Single Family,2822.0,Yes,No,Partial,Vinyl,Yes,forced air,other,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8778584,-119.5425828,424800.0,3.0,2.0,0.11,Single Family,1446.0,No,No,No basement,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.2983577,-119.2757791,2275000.0,5.0,4.0,12.86,Single Family,3669.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,septic,No,No,No
Kelowna,BC,49.8004424,-119.5155847,1895000.0,3.0,4.0,0.29,Single Family,3474.0,Yes,No,Finished,Concrete,Yes,forced air,wood,metal,No,municipal,No,No,No
Armstrong,BC,50.4377975,-119.1926804,950000.0,4.0,4.0,0.22,Single Family,3100.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.2324832,-119.4044096,1249900.0,3.0,3.0,0.21,Single Family,2937.0,Yes,No,Finished,Wood,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Vernon,BC,50.2485347,-119.3157582,679900.0,2.0,2.0,0.09,Single Family,1429.0,Yes,No,No basement,Vinyl,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8019142,-119.4956589,2649000.0,4.0,3.0,1.39,Single Family,3988.0,Yes,Yes,Finished,Brick,No,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.787529,-119.5229176,2999900.0,5.0,6.0,0.32,Single Family,6706.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Logan Lake,BC,50.497728,-120.819816,524900.0,4.0,3.0,0.2,Single Family,2340.0,No,Yes,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.7421684,-120.7025909,1098000.0,5.0,4.0,0.17,Single Family,2901.0,Yes,Yes,Partial,Composite,Yes,forced air,other,asphalt,No,municipal,No,No,No
Peachland,BC,49.7937293,-119.7000944,2180000.0,3.0,4.0,0.0,Single Family,2089.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,other,No,municipal,No,No,No
Kelowna,BC,49.8779781,-119.4879179,1399900.0,10.0,4.0,0.18,Single Family,3524.0,No,No,No basement,Concrete,Yes,radiant,carpet,asphalt,No,municipal,No,No,No
Castlegar,BC,49.2768478,-117.6298065,439000.0,3.0,2.0,0.59,Single Family,924.0,No,Yes,No basement,Concrete,No,forced air,carpet,asphalt,No,septic,No,No,No
Fairmont Hot Springs,BC,50.2387722,-115.8693596,2499000.0,5.0,5.0,0.66,Single Family,4188.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Barriere,BC,51.1013107,-119.8220444,1499000.0,3.0,3.0,153.0,Single Family,2950.0,Yes,Yes,Partial,Wood,No,radiant,wood,asphalt,No,none,No,No,No
Lake Country,BC,50.0130124,-119.438458,3149000.0,4.0,3.0,0.78,Single Family,5165.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,other,No,municipal,No,No,No
Kelowna,BC,49.864221,-119.2183978,1429000.0,6.0,4.0,1.23,Single Family,4378.0,Yes,Yes,Finished,Composite,Yes,fireplace,carpet,asphalt,No,septic,No,No,No
Peachland,BC,49.7563538,-119.7567621,1049000.0,3.0,3.0,0.28,Single Family,2412.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Castlegar,BC,49.2610817,-117.6647568,849900.0,4.0,4.0,0.15,Single Family,2662.0,Yes,No,Finished,Composite,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9041542,-119.3615819,1095000.0,5.0,3.0,0.25,Single Family,2443.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9370454,-119.3461308,994500.0,3.0,3.0,0.17,Single Family,2757.0,Yes,No,Finished,Composite,No,forced air,carpet,asphalt,No,municipal,No,No,No
Revelstoke,BC,50.9461165,-118.1684484,899000.0,2.0,1.0,1.03,Single Family,1008.0,Yes,No,Finished,Wood,No,radiant,laminate,metal,No,septic,No,No,No
Lake Country,BC,50.0604095,-119.381073,2739000.0,5.0,4.0,8.5,Single Family,4042.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Salmo,BC,49.1910744,-117.2952576,1649000.0,3.0,2.0,6.67,Single Family,2370.0,Yes,Yes,No basement,Wood,Yes,radiant,other,asphalt,No,none,No,No,No
Kelowna,BC,49.7838903,-119.523187,2900000.0,5.0,4.0,0.26,Single Family,3965.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Chase,BC,50.8199425,-119.6830978,299000.0,1.0,1.0,0.07,Single Family,785.0,Yes,Yes,Partial,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.8587265,-120.1592255,1275000.0,4.0,3.0,27.06,Single Family,3444.0,Yes,No,Partial,Vinyl,Yes,forced air,carpet,asphalt,No,none,No,No,No
Vernon,BC,50.173027,-119.4407043,724800.0,3.0,3.0,0.06,Single Family,1285.0,No,No,No basement,Wood,No,forced air,carpet,metal,No,municipal,No,No,No
Vernon,BC,50.2493503,-119.3175826,639000.0,2.0,2.0,0.1,Single Family,1154.0,Yes,No,No basement,Vinyl,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7896172,-119.5243121,2248000.0,5.0,4.0,0.43,Single Family,3794.0,Yes,No,Finished,Wood,Yes,forced air,carpet,shingle,No,septic,No,No,No
Kelowna,BC,49.7879661,-119.522986,1999900.0,5.0,4.0,0.27,Single Family,4606.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,none,No,No,No
Vernon,BC,50.2385254,-119.4474716,449900.0,3.0,3.0,0.0,Single Family,2700.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Golden,BC,51.301403,-116.9677429,848000.0,5.0,2.0,0.22,Single Family,2225.0,Yes,No,Finished,Vinyl,No,radiant,carpet,metal,No,municipal,No,No,No
Sorrento,BC,50.8788528,-119.4466782,1400000.0,4.0,4.0,3.7,Single Family,5062.0,No,Yes,Partial,Composite,No,forced air,other,metal,No,septic,No,No,No
Kelowna,BC,49.8268643,-119.4762679,1549000.0,4.0,4.0,0.13,Single Family,3286.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6670216,-120.3183917,779900.0,3.0,2.0,0.14,Single Family,1430.0,No,No,Partial,Concrete,Yes,forced air,other,asphalt,No,municipal,No,No,No
Castlegar,BC,49.33574,-117.671244,749900.0,4.0,4.0,0.45,Single Family,3088.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Kamloops,BC,50.6604373,-120.2481312,749900.0,3.0,3.0,0.18,Single Family,3113.0,Yes,No,No basement,Wood,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6569839,-120.2229916,1379000.0,4.0,4.0,0.53,Single Family,3307.0,Yes,No,No basement,Concrete,Yes,forced air,other,asphalt,No,municipal,No,No,No
Vernon,BC,50.2526703,-119.3066559,824900.0,4.0,3.0,0.14,Single Family,2074.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Osoyoos,BC,49.0117325,-119.4898124,899900.0,3.0,4.0,0.19,Single Family,2840.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,tile,No,municipal,No,No,No
Trail,BC,49.0998383,-117.7244339,260000.0,5.0,2.0,0.07,Single Family,2018.0,No,No,Finished,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Fruitvale,BC,49.1098747,-117.5538635,469000.0,3.0,2.0,0.16,Single Family,1483.0,Yes,Yes,No basement,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Trail,BC,49.110768,-117.721792,795000.0,4.0,3.0,0.3,Single Family,2925.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Manning Park,BC,49.1389999,-120.6166,479000.0,3.0,2.0,0.36,Single Family,2246.0,No,No,Finished,Metal,Yes,radiant,wood,metal,No,septic,No,No,No
Fruitvale,BC,49.1187811,-117.5478608,579900.0,4.0,3.0,0.17,Single Family,2413.0,Yes,No,Finished,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Trail,BC,49.099832,-117.690984,499900.0,3.0,2.0,0.12,Single Family,1276.0,No,No,Finished,Concrete,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Trail,BC,49.099107,-117.674097,494000.0,2.0,2.0,0.14,Single Family,2282.0,Yes,No,Finished,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
Grand Forks,BC,49.0275383,-118.4498596,310600.0,2.0,2.0,0.22,Single Family,1080.0,Yes,No,Partial,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Rossland,BC,49.0826834,-117.7984264,559000.0,4.0,2.0,0.15,Single Family,2218.0,No,No,Finished,Concrete,No,forced air,wood,metal,No,municipal,No,No,No
Midway,BC,49.0098889,-118.779573,499000.0,3.0,2.0,0.16,Single Family,1296.0,No,Yes,Partial,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Grand Forks,BC,49.0302543,-118.4631767,429000.0,3.0,2.0,0.21,Single Family,1967.0,No,No,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Grand Forks,BC,49.026062,-118.4549866,315000.0,3.0,1.0,0.17,Single Family,1335.0,No,Yes,Partial,Concrete,Yes,boiler,tile,asphalt,No,municipal,No,No,No
Vernon,BC,49.2415009,-123.0608215,499000.0,2.0,1.0,0.23,Single Family,748.0,No,No,No basement,Vinyl,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8179321,-119.4762115,1175000.0,4.0,3.0,0.24,Single Family,2284.0,Yes,No,Partial,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.839231,-119.638202,769900.0,4.0,3.0,0.07,Single Family,2399.0,Yes,No,No basement,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.843679,-119.5612173,1300000.0,5.0,5.0,0.38,Single Family,5054.0,Yes,No,Finished,Concrete,No,forced air,vinyl,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8658017,-119.5514236,1699000.0,3.0,3.0,0.62,Single Family,3316.0,Yes,No,Partial,Concrete,Yes,forced air,carpet,asphalt,No,septic,No,No,No
West Kelowna,BC,49.862183,-119.563713,1379000.0,5.0,4.0,0.6,Single Family,4106.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8484596,-119.6307028,869900.0,4.0,3.0,0.26,Single Family,2355.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8821318,-119.3825121,880000.0,4.0,3.0,0.28,Single Family,2308.0,Yes,Yes,Finished,Wood,Yes,forced air,carpet,asphalt,No,septic,No,No,No
West Kelowna,BC,49.8159103,-119.6346817,1170000.0,3.0,3.0,0.11,Single Family,2839.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9003512,-119.4776961,1999900.0,4.0,4.0,0.67,Single Family,3311.0,Yes,No,Finished,Concrete,No,forced air,tile,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8819504,-119.484848,1703025.0,3.0,1.0,0.25,Single Family,1778.0,Yes,No,Finished,Vinyl,No,radiant,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8886226,-119.4791929,1099900.0,4.0,3.0,0.15,Single Family,2139.0,Yes,Yes,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8159826,-119.4931184,1324900.0,4.0,3.0,0.23,Single Family,3315.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8765722,-119.5630613,954000.0,5.0,3.0,0.19,Single Family,2531.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.853981,-119.6036911,1199000.0,5.0,4.0,0.26,Single Family,3480.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8643991,-119.599198,1049000.0,5.0,3.0,0.1,Single Family,3481.0,Yes,No,Finished,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8664133,-119.6178168,1399900.0,5.0,4.0,0.13,Single Family,3748.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8362797,-119.5834542,1549000.0,5.0,3.0,0.24,Single Family,3405.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9256118,-119.4699621,1488765.0,4.0,4.0,0.39,Single Family,3583.0,Yes,No,Finished,Wood,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Kelowna,BC,49.8716619,-119.3545239,989000.0,4.0,3.0,0.16,Single Family,2902.0,Yes,No,Finished,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9188839,-119.4617859,1225000.0,4.0,3.0,0.16,Single Family,3164.0,Yes,No,Finished,Composite,Yes,alt heat,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8207672,-119.4818615,849999.0,4.0,3.0,0.21,Single Family,2605.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8411792,-119.3824139,1179000.0,4.0,4.0,0.15,Single Family,3599.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9081772,-119.3410921,858000.0,3.0,4.0,0.22,Single Family,2175.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8502588,-119.6088969,1299900.0,5.0,3.0,0.15,Single Family,3098.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8398098,-119.6186367,609500.0,2.0,2.0,0.1,Single Family,1465.0,Yes,No,No basement,Concrete,Yes,forced air,laminate,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8777207,-119.5579441,1299900.0,5.0,3.0,0.18,Single Family,2776.0,Yes,No,Finished,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.845748,-119.4102419,1935000.0,7.0,6.0,2.1,Single Family,4899.0,Yes,No,Partial,Brick,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Kelowna,BC,49.8139143,-119.4727327,1198000.0,5.0,3.0,0.21,Single Family,2628.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8799057,-119.5480423,1499000.0,5.0,6.0,0.16,Single Family,4203.0,Yes,No,Finished,Concrete,Yes,forced air,wood,shingle,No,municipal,No,No,No
West Kelowna,BC,49.845991,-119.5500085,1999500.0,4.0,4.0,0.18,Single Family,3380.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.891139,-119.4080516,1916000.0,3.0,1.0,0.36,Single Family,2527.0,Yes,No,Finished,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8913525,-119.408061,1916000.0,2.0,1.0,0.36,Single Family,2046.0,Yes,No,Finished,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8446459,-119.6679089,749000.0,4.0,2.0,0.22,Single Family,2008.0,Yes,No,Finished,Metal,No,forced air,tile,asphalt,No,septic,No,No,No
Kelowna,BC,49.868838,-119.4895142,849800.0,3.0,2.0,0.17,Single Family,2388.0,Yes,No,Finished,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8859718,-119.3511845,1850000.0,4.0,4.0,0.21,Single Family,4575.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.809722,-119.4581388,1175000.0,4.0,3.0,0.41,Single Family,2332.0,Yes,No,No basement,Wood,Yes,forced air,wood,asphalt,No,septic,No,No,No
Kelowna,BC,49.8751604,-119.4893788,1499900.0,3.0,3.0,0.18,Single Family,2120.0,No,No,No basement,Vinyl,Yes,heat pump,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8444595,-119.5819778,2225000.0,5.0,5.0,0.26,Single Family,4562.0,Yes,No,Finished,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9200893,-119.4477703,1079000.0,5.0,3.0,0.16,Single Family,2919.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,tar,No,municipal,No,No,No
West Kelowna,BC,49.8286836,-119.6061408,1049900.0,3.0,3.0,0.0,Single Family,2849.0,Yes,No,Finished,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.858048,-119.5448838,1995000.0,6.0,5.0,0.39,Single Family,5167.0,Yes,No,Finished,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8439139,-119.465162,3775000.0,6.0,5.0,7.48,Single Family,4135.0,Yes,No,No basement,Concrete,No,forced air,carpet,asphalt,No,septic,No,No,No
Kelowna,BC,49.8907013,-119.4572144,1209000.0,4.0,3.0,0.24,Single Family,2176.0,Yes,Yes,Finished,Wood,No,forced air,tile,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8662554,-119.620001,1999800.0,4.0,4.0,0.56,Single Family,4398.0,Yes,Yes,Finished,Metal,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8821754,-119.4802933,1995000.0,2.0,2.0,0.38,Single Family,4008.0,No,No,Finished,Concrete,No,radiant,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8889732,-119.5354691,1079999.0,4.0,3.0,0.06,Single Family,2027.0,Yes,No,Finished,Composite,No,forced air,carpet,tile,No,municipal,No,No,No
Kelowna,BC,49.9286818,-119.4508926,1724900.0,6.0,5.0,0.17,Single Family,4246.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.869891,-119.3615355,1319000.0,4.0,4.0,0.16,Single Family,3270.0,Yes,No,Finished,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8706759,-119.3493624,959900.0,4.0,2.0,0.26,Single Family,1917.0,Yes,Yes,No basement,Metal,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8886672,-119.4624396,910000.0,5.0,2.0,0.17,Single Family,2058.0,No,No,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8093733,-119.4553521,1799900.0,5.0,4.0,0.48,Single Family,5272.0,Yes,Yes,Finished,Brick,Yes,forced air,carpet,asphalt,No,septic,No,No,No
West Kelowna,BC,49.859655,-119.5758193,799000.0,4.0,2.0,0.63,Single Family,2300.0,Yes,No,Finished,Concrete,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8781246,-119.3447903,1591000.0,6.0,4.0,0.29,Single Family,3909.0,Yes,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8798962,-119.4960878,1249900.0,4.0,4.0,0.19,Single Family,2119.0,Yes,No,Finished,Metal,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8193942,-119.4963565,1749000.0,5.0,3.0,0.23,Single Family,3452.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8700256,-119.3629834,1100000.0,6.0,3.0,0.16,Single Family,2600.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8620949,-119.4629898,1124900.0,3.0,3.0,0.11,Single Family,2708.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.846153,-119.5694398,1895000.0,4.0,4.0,0.36,Single Family,3967.0,No,No,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8614403,-119.4630064,969900.0,2.0,2.0,0.11,Single Family,1417.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9252219,-119.4389939,1399000.0,5.0,3.0,0.38,Single Family,2864.0,Yes,No,Finished,Concrete,No,forced air,laminate,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8194999,-119.6221105,1549900.0,4.0,4.0,0.15,Single Family,2996.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8934926,-119.5537982,1225000.0,4.0,4.0,0.34,Single Family,2955.0,Yes,No,Finished,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8140575,-119.6264087,1088800.0,5.0,3.0,0.12,Single Family,2713.0,Yes,No,Finished,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9011612,-119.4856033,1250000.0,4.0,3.0,0.15,Single Family,2786.0,Yes,No,Finished,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9006201,-119.4924733,874900.0,2.0,1.0,0.14,Single Family,754.0,No,No,No basement,Wood,Yes,radiant,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8705755,-119.6121494,999999.0,5.0,3.0,0.3,Single Family,2479.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
